"Pid","ModuleName","FileName","BaseAddress","ModuleSize","FileDescription","FileVersion","CompanyName","ProductName"
"38892","dhcpcsvc.DLL","C:\Windows\SYSTEM32\dhcpcsvc.DLL","0x7FFF01F30000","151552","DHCP 客户端服务","10.0.26100.8875 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","WINHTTP.dll","C:\Windows\SYSTEM32\WINHTTP.dll","0x7FFF020D0000","1212416","Windows HTTP 服务","10.0.26100.8875 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","sechost.dll","C:\Windows\System32\sechost.dll","0x7FFF09A20000","696320","Host for SCM/SDDL/LSA Lookup APIs","10.0.26100.1 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","cfgmgr32.dll","C:\Windows\SYSTEM32\cfgmgr32.dll","0x7FFF08900000","335872","Configuration Manager DLL","10.0.26100.8972 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","dbgcore.DLL","C:\Windows\SYSTEM32\dbgcore.DLL","0x7FFEE5800000","241664","Windows Core Debugging Helpers","10.0.26100.8972 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","DPAPI.DLL","C:\Windows\SYSTEM32\DPAPI.DLL","0x7FFF08980000","40960","Data Protection API","10.0.26100.8521 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","SSPICLI.DLL","C:\Windows\SYSTEM32\SSPICLI.DLL","0x7FFF07C90000","299008","Security Support Provider Interface","10.0.26100.8972 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","MSASN1.dll","C:\Windows\SYSTEM32\MSASN1.dll","0x7FFF08400000","77824","ASN.1 Runtime APIs","10.0.26100.8875 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","bcryptPrimitives.dll","C:\Windows\System32\bcryptPrimitives.dll","0x7FFF09630000","704512","Windows Cryptographic Primitives Library","10.0.26100.9168 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","powrprof.dll","C:\Windows\SYSTEM32\powrprof.dll","0x7FFF089D0000","385024","电源配置文件帮助程序 DLL","10.0.26100.8875 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","UMPDC.dll","C:\Windows\SYSTEM32\UMPDC.dll","0x7FFF089B0000","86016","User Mode Power Dependency Coordinator","10.0.26100.8972 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","USER32.dll","C:\Windows\System32\USER32.dll","0x7FFF09850000","1859584","多用户 Windows 用户 API 客户端 DLL","10.0.26100.8875 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","win32u.dll","C:\Windows\System32\win32u.dll","0x7FFF09340000","159744","Win32u","10.0.26100.9168 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","GDI32.dll","C:\Windows\System32\GDI32.dll","0x7FFF0B1E0000","176128","GDI Client DLL","10.0.26100.8328 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","gdi32full.dll","C:\Windows\System32\gdi32full.dll","0x7FFF09500000","1216512","GDI Client DLL","10.0.26100.9168 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","IMM32.DLL","C:\Windows\System32\IMM32.DLL","0x7FFF0A510000","204800","Multi-User Windows IMM32 API Client DLL","10.0.26100.8521 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","uxtheme.dll","C:\Windows\system32\uxtheme.dll","0x7FFF04E80000","688128","Microsoft UxTheme 库","10.0.26100.8875 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","mswsock.dll","C:\Windows\system32\mswsock.dll","0x7FFF07F70000","442368","Microsoft Windows Sockets 2.0 服务提供程序","10.0.26100.8875 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","SHELL32.dll","C:\Windows\System32\SHELL32.dll","0x7FFF0A5A0000","7897088","Windows Shell 公用 DLL","10.0.26100.8972 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","ADVAPI32.dll","C:\Windows\System32\ADVAPI32.dll","0x7FFF0B400000","770048","高级 Windows 32 基本 API","10.0.26100.8875 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","ntmarta.dll","C:\Windows\SYSTEM32\ntmarta.dll","0x7FFF07B10000","221184","Windows NT MARTA 提供程序","10.0.26100.8875 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","ole32.dll","C:\Windows\System32\ole32.dll","0x7FFF0B940000","1675264","用于 Windows 的 Microsoft OLE","10.0.26100.8875 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","kernel.appcore.dll","C:\Windows\SYSTEM32\kernel.appcore.dll","0x7FFF079E0000","110592","AppModel API Host","10.0.26100.8737 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","mf.dll","C:\Windows\SYSTEM32\mf.dll","0x7FFECC110000","622592","媒体基础 DLL","10.0.26100.8875 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","mfplat.dll","C:\Windows\SYSTEM32\mfplat.dll","0x7FFED8B10000","2244608","媒体基础平台 DLL","10.0.26100.8875 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","RTWorkQ.DLL","C:\Windows\SYSTEM32\RTWorkQ.DLL","0x7FFED8870000","241664","Realtime WorkQueue DLL","10.0.26100.3912 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","vk_swiftshader.dll","C:\Users\22983\AppData\Local\Qingfeng\HeyboxChat\1.56.0\vk_swiftshader.dll","0x7FFDFC1C0000","5632000","SwiftShader Vulkan 64-bit Dynamic Link Library","5.0.0","","SwiftShader Vulkan Dynamic Link Library"
"38892","dwmapi.dll","C:\Windows\SYSTEM32\dwmapi.dll","0x7FFF04FA0000","192512","Microsoft 桌面窗口管理器 API","10.0.26100.8875 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","dcomp.dll","C:\Windows\SYSTEM32\dcomp.dll","0x7FFF04220000","2248704","Microsoft DirectComposition Library","10.0.26100.8972 (WinBuild.160101.0800)","Microsoft Corporation","Microsoft® Windows® Operating System"
"38892","Microsoft.Internal.WarpPal.dll","C:\Windows\SYSTEM32\Microsoft.Internal.WarpPal.dll","0x7FFF03B30000","102400",,,,
